year,Region,Attack.Type,Percentage
1976,Central America & Caribbean,Hostage taking/assassinaton,7
1976,Central America & Caribbean,Other,0
1976,Central Asia,Armed Assault,0
1976,Central Asia,Bombing/Explosion,0
1976,Central Asia,Facility/Infrastructure Attack,0
1976,Central Asia,Hostage taking/assassinaton,0
1976,Central Asia,Other,0
1976,Europe,Armed Assault,74
1976,Europe,Bombing/Explosion,234
1976,Europe,Facility/Infrastructure Attack,95
1976,Europe,Hostage taking/assassinaton,172
1976,Europe,Other,4
1976,MENA,Armed Assault,4
1976,MENA,Bombing/Explosion,37
1976,MENA,Facility/Infrastructure Attack,1
1976,MENA,Hostage taking/assassinaton,11
1976,MENA,Other,2
1976,North America,Armed Assault,14
1976,North America,Bombing/Explosion,74
1976,North America,Facility/Infrastructure Attack,4
1976,North America,Hostage taking/assassinaton,15
1976,North America,Other,18
1976,South America,Armed Assault,17
1976,South America,Bombing/Explosion,31
1976,South America,Facility/Infrastructure Attack,2
1976,South America,Hostage taking/assassinaton,41
1976,South America,Other,0
1976,South Asia,Armed Assault,0
1976,South Asia,Bombing/Explosion,3
1976,South Asia,Facility/Infrastructure Attack,1
1976,South Asia,Hostage taking/assassinaton,0
1976,South Asia,Other,0
1976,Sub-Saharan Africa,Armed Assault,1
1976,Sub-Saharan Africa,Bombing/Explosion,3
1976,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1976,Sub-Saharan Africa,Hostage taking/assassinaton,6
1976,Sub-Saharan Africa,Other,0
1977,Asia-Pacific,Armed Assault,3
1977,Asia-Pacific,Bombing/Explosion,7
1977,Asia-Pacific,Facility/Infrastructure Attack,0
1977,Asia-Pacific,Hostage taking/assassinaton,1
1977,Asia-Pacific,Other,1
1977,Central America & Caribbean,Armed Assault,6
1977,Central America & Caribbean,Bombing/Explosion,5
1977,Central America & Caribbean,Facility/Infrastructure Attack,0
1977,Central America & Caribbean,Hostage taking/assassinaton,13
1977,Central America & Caribbean,Other,0
1977,Central Asia,Armed Assault,0
1977,Central Asia,Bombing/Explosion,0
1977,Central Asia,Facility/Infrastructure Attack,0
1977,Central Asia,Hostage taking/assassinaton,0
1977,Central Asia,Other,0
1977,Europe,Armed Assault,183
1977,Europe,Bombing/Explosion,314
1977,Europe,Facility/Infrastructure Attack,146
1977,Europe,Hostage taking/assassinaton,120
1977,Europe,Other,10
1977,MENA,Armed Assault,35
1977,MENA,Bombing/Explosion,153
1977,MENA,Facility/Infrastructure Attack,3
1977,MENA,Hostage taking/assassinaton,17
1977,MENA,Other,3
1977,North America,Armed Assault,10
1977,North America,Bombing/Explosion,88
1977,North America,Facility/Infrastructure Attack,22
1977,North America,Hostage taking/assassinaton,16
1977,North America,Other,13
1977,South America,Armed Assault,12
1977,South America,Bombing/Explosion,55
1977,South America,Facility/Infrastructure Attack,4
1977,South America,Hostage taking/assassinaton,47
1977,South America,Other,1
1977,South Asia,Armed Assault,0
1977,South Asia,Bombing/Explosion,1
1977,South Asia,Facility/Infrastructure Attack,0
1977,South Asia,Hostage taking/assassinaton,0
1977,South Asia,Other,1
1977,Sub-Saharan Africa,Armed Assault,3
1977,Sub-Saharan Africa,Bombing/Explosion,8
1977,Sub-Saharan Africa,Facility/Infrastructure Attack,1
1977,Sub-Saharan Africa,Hostage taking/assassinaton,10
1977,Sub-Saharan Africa,Other,7
1978,Asia-Pacific,Armed Assault,21
1978,Asia-Pacific,Bombing/Explosion,24
1978,Asia-Pacific,Facility/Infrastructure Attack,23
1978,Asia-Pacific,Hostage taking/assassinaton,9
1978,Asia-Pacific,Other,4
1978,Central America & Caribbean,Armed Assault,36
1978,Central America & Caribbean,Bombing/Explosion,57
1978,Central America & Caribbean,Facility/Infrastructure Attack,8
1978,Central America & Caribbean,Hostage taking/assassinaton,76
1978,Central America & Caribbean,Other,22
1978,Central Asia,Armed Assault,0
1978,Central Asia,Bombing/Explosion,0
1978,Central Asia,Facility/Infrastructure Attack,0
1978,Central Asia,Hostage taking/assassinaton,0
1978,Central Asia,Other,0
1978,Europe,Armed Assault,106
1978,Europe,Bombing/Explosion,327
1978,Europe,Facility/Infrastructure Attack,122
